Geo_FIPS,year,pediatric_population,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17,ed_visit_rate_per_1000,asthma_ed_rate,injury_rate,low_acuity_ratio,primary_care_utilization
420031516003,2016,108,28.0,13.0,4.0,1.0,4.0,32,28,8.0,259.25925925925924,37.03703703703704,9.25925925925926,0.4642857142857143,0.2962962962962963
420031005002,2018,226,128.0,74.0,22.0,2.0,18.0,111,95,20.0,566.3716814159292,97.34513274336283,8.849557522123893,0.578125,0.4911504424778761
420031005002,2019,226,140.0,92.0,21.0,1.0,12.0,105,91,21.0,619.4690265486726,92.92035398230088,4.424778761061947,0.6571428571428571,0.4646017699115044
420031011001,2017,189,95.0,45.0,20.0,2.0,15.0,54,51,11.0,502.64550264550263,105.82010582010582,10.582010582010582,0.47368421052631576,0.2857142857142857
420031011001,2018,189,99.0,68.0,22.0,2.0,19.0,69,57,11.0,523.8095238095239,116.4021164021164,10.582010582010582,0.6868686868686869,0.36507936507936506
420031011001,2019,189,113.0,75.0,16.0,1.0,20.0,67,64,12.0,597.8835978835979,84.65608465608466,5.291005291005291,0.6637168141592921,0.3544973544973545
420031011003,2016,191,40.0,19.0,12.0,2.0,4.0,32,26,9.0,209.4240837696335,62.82722513089005,10.471204188481675,0.475,0.16753926701570682
420031011003,2019,191,40.0,23.0,7.0,1.0,7.0,30,27,8.0,209.4240837696335,36.64921465968586,5.2356020942408374,0.575,0.15706806282722513
420031014001,2016,233,48.0,22.0,9.0,1.0,10.0,102,86,15.0,206.00858369098714,38.62660944206009,4.291845493562231,0.4583333333333333,0.43776824034334766
420031014003,2019,113,51.0,31.0,18.0,1.0,5.0,81,76,20.0,451.3274336283186,159.2920353982301,8.849557522123893,0.6078431372549019,0.7168141592920354
420031014004,2016,139,40.0,16.0,2.0,1.0,4.0,74,67,8.0,287.76978417266184,14.388489208633093,7.194244604316546,0.4,0.5323741007194245
420031014004,2018,139,38.0,25.0,1.0,3.0,6.0,71,64,8.0,273.38129496402877,7.194244604316546,21.58273381294964,0.6578947368421053,0.5107913669064749
420031014004,2019,139,36.0,20.0,1.0,1.0,3.0,74,72,7.0,258.9928057553957,7.194244604316546,7.194244604316546,0.5555555555555556,0.5323741007194245
420031016001,2016,368,259.0,144.0,76.0,1.0,45.0,170,124,39.0,703.804347826087,206.52173913043478,2.717391304347826,0.555984555984556,0.46195652173913043
420031016001,2017,368,260.0,169.0,85.0,2.0,42.0,159,125,38.0,706.5217391304348,230.97826086956522,5.434782608695652,0.65,0.4320652173913043
420031016001,2018,368,283.0,189.0,70.0,3.0,60.0,173,126,37.0,769.0217391304348,190.2173913043478,8.152173913043478,0.6678445229681979,0.4701086956521739
420031016001,2019,368,289.0,239.0,61.0,2.0,65.0,175,132,36.0,785.3260869565217,165.7608695652174,5.434782608695652,0.8269896193771626,0.47554347826086957
420031017001,2016,107,92.0,47.0,33.0,1.0,18.0,42,30,11.0,859.8130841121496,308.41121495327104,9.345794392523365,0.5108695652173914,0.3925233644859813
420031017001,2018,107,100.0,69.0,43.0,1.0,17.0,36,29,9.0,934.5794392523364,401.86915887850466,9.345794392523365,0.69,0.3364485981308411
420031017002,2016,142,146.0,76.0,41.0,2.0,28.0,109,86,29.0,1028.1690140845071,288.7323943661972,14.084507042253522,0.5205479452054794,0.7676056338028169
420031017002,2017,142,176.0,98.0,62.0,1.0,44.0,113,89,28.0,1239.4366197183099,436.61971830985914,7.042253521126761,0.5568181818181818,0.795774647887324
420031017002,2018,142,158.0,102.0,58.0,3.0,32.0,112,92,30.0,1112.6760563380283,408.4507042253521,21.12676056338028,0.6455696202531646,0.7887323943661971
420031018001,2016,215,49.0,25.0,13.0,2.0,6.0,72,64,6.0,227.90697674418604,60.46511627906977,9.30232558139535,0.5102040816326531,0.33488372093023255
420031018001,2019,215,51.0,32.0,11.0,2.0,8.0,80,74,7.0,237.2093023255814,51.16279069767442,9.30232558139535,0.6274509803921569,0.37209302325581395
420031018002,2017,154,83.0,37.0,12.0,1.0,14.0,121,94,19.0,538.961038961039,77.92207792207792,6.4935064935064934,0.4457831325301205,0.7857142857142857
